t_s,pos_mm
2.400000,-7.249369
2.420000,-7.996804
2.440000,-8.452712
2.460000,-8.731009
2.480000,-8.593519
2.500000,-8.073025
2.520000,-7.198762
2.540000,-6.047337
2.560000,-4.796992
2.580000,-3.623423
2.600000,-2.778295
2.620000,-2.238070
2.640000,-2.045300
2.660000,-2.160016
2.680000,-2.221870
2.700000,-2.368609
2.720000,-2.305531
2.740000,-2.058174
2.760000,-1.699880
2.780000,-1.260182
2.800000,-0.874173
2.820000,-0.542091
2.840000,-0.574961
2.860000,-0.824273
2.880000,-1.111806
2.900000,-1.486963
2.920000,-1.482617
2.940000,-1.339895
2.960000,-0.793623
2.980000,0.325448
3.000000,1.472219
3.020000,2.983266
3.040000,4.321045
3.060000,5.562074
3.080000,6.283081
3.100000,6.808121
3.120000,7.151732
3.140000,7.160330
3.160000,7.298580
3.180000,7.363010
3.200000,7.575973
3.220000,7.837717
3.240000,8.127591
3.260000,8.211908
3.280000,7.903962
3.300000,7.443988
3.320000,6.530065
3.340000,5.237112
3.360000,3.830777
3.380000,2.459254
3.400000,1.348590
3.420000,0.459255
3.440000,0.096500
3.460000,-0.095077
3.480000,0.055436
3.500000,0.249869
3.520000,0.376986
3.540000,0.284852
3.560000,0.175839
3.580000,-0.268284
3.600000,-0.762317
3.620000,-1.183919
3.640000,-1.390853
3.660000,-1.375087
3.680000,-1.230261
3.700000,-0.926795
3.720000,-0.812921
3.740000,-0.724888
3.760000,-1.196630
3.780000,-1.830737
3.800000,-2.960415
3.820000,-4.192321
3.840000,-5.508618
3.860000,-6.713190
3.880000,-7.537455
3.900000,-8.033542
3.920000,-8.265651
3.940000,-8.131525
3.960000,-7.828980
3.980000,-7.486088
4.000000,-7.158003
4.020000,-7.030492
4.040000,-6.962825
4.060000,-6.769026
4.080000,-6.456213
4.100000,-5.864113
4.120000,-4.935879
4.140000,-3.707483
4.160000,-2.265997
4.180000,-0.742682
4.200000,0.579161
4.220000,1.687596
4.240000,2.268296
4.260000,2.570435
4.280000,2.415051
4.300000,2.071560
4.320000,1.816131
4.340000,1.635917
4.360000,1.660779
4.380000,1.841112
4.400000,2.251841
4.420000,2.635148
4.440000,2.928790
4.460000,3.197308
4.480000,3.066319
4.500000,2.922787
4.520000,2.666583
4.540000,2.467574
4.560000,2.590143
4.580000,3.114729
4.600000,3.804461
4.620000,4.827054
4.640000,5.899376
4.660000,7.011928
4.680000,7.795199
4.700000,8.298607
4.720000,8.378133
4.740000,8.023833
4.760000,7.514533
4.780000,6.858320
4.800000,6.066757
4.820000,5.507192
4.840000,5.017361
4.860000,4.550844
4.880000,4.198129
4.900000,3.521614
4.920000,2.636419
4.940000,1.614723
4.960000,0.211310
4.980000,-1.233379
5.000000,-2.628502
5.020000,-3.818214
5.040000,-4.470215
5.060000,-4.890417
5.080000,-4.839668
5.100000,-4.432622
5.120000,-3.996822
5.140000,-3.476067
5.160000,-3.203974
5.180000,-3.174924
5.200000,-3.373729
5.220000,-3.644917
5.240000,-3.894603
5.260000,-4.162994
5.280000,-4.287935
5.300000,-4.095951
5.320000,-3.802796
5.340000,-3.495586
5.360000,-3.460333
5.380000,-3.436273
5.400000,-3.923354
5.420000,-4.627751
5.440000,-5.506609
5.460000,-6.419283
5.480000,-7.220623
5.500000,-7.673889
5.520000,-7.549674
5.540000,-7.184272
5.560000,-6.513562
5.580000,-5.411563
5.600000,-4.410738
5.620000,-3.440718
5.640000,-2.586401
5.660000,-1.959324
5.680000,-1.422630
5.700000,-0.785091
5.720000,-0.071556
5.740000,0.888583
5.760000,1.960002
5.780000,3.384093
5.800000,4.550422
5.820000,5.752822
5.840000,6.541537
5.860000,6.931713
5.880000,6.801483
5.900000,6.410965
5.920000,5.791785
5.940000,5.068104
5.960000,4.348755
5.980000,3.909982
6.000000,3.814509
6.020000,3.978374
6.040000,4.044893
6.060000,4.402905
6.080000,4.495017
6.100000,4.330943
6.120000,4.137997
6.140000,3.784405
6.160000,3.498465
6.180000,3.367706
6.200000,3.379307
6.220000,3.763353
6.240000,4.355743
6.260000,5.125811
6.280000,5.543693
6.300000,5.964216
6.320000,6.057705
6.340000,5.616786
6.360000,4.790360
6.380000,3.628557
6.400000,2.367022
6.420000,1.111985
6.440000,0.018898
6.460000,-0.914676
6.480000,-1.556779
6.500000,-2.208389
6.520000,-2.699913
6.540000,-3.335108
6.560000,-4.102650
6.580000,-5.202988
6.600000,-6.155036
6.620000,-7.130333
6.640000,-7.977928
6.660000,-8.246877
6.680000,-8.234558
6.700000,-7.641496
6.720000,-6.864696
6.740000,-5.830396
6.760000,-4.875173
6.780000,-4.246052
6.800000,-3.653421
6.820000,-3.399017
6.840000,-3.573337
6.860000,-3.708864
6.880000,-3.791960
6.900000,-3.803785
6.920000,-3.692306
6.940000,-3.301656
6.960000,-2.805229
6.980000,-2.521691
7.000000,-2.295200
7.020000,-2.302795
7.040000,-2.535603
7.060000,-2.985408
7.080000,-3.441072
7.100000,-3.770093
7.120000,-3.982514
7.140000,-3.590513
7.160000,-2.813434
7.180000,-1.718726
7.200000,-0.265958
7.220000,1.115338
7.240000,2.414023
7.260000,3.444903
7.280000,4.221942
7.300000,4.826102
7.320000,5.257025
7.340000,5.667602
7.360000,6.099116
7.380000,6.562606
7.400000,7.172922
7.420000,7.931912
7.440000,8.501582
7.460000,8.819383
7.480000,8.627444
7.500000,8.089718
7.520000,7.191561
7.540000,5.931810
7.560000,4.814656
7.580000,3.635548
7.600000,2.833130
7.620000,2.265990
7.640000,2.069554
7.660000,2.068034
7.680000,2.267662
7.700000,2.318362
7.720000,2.235259
7.740000,2.085495
7.760000,1.703831
7.780000,1.232851
7.800000,0.820639
7.820000,0.559112
7.840000,0.467324
7.860000,0.724055
7.880000,1.070302
7.900000,1.303846
7.920000,1.496979
7.940000,1.311112
7.960000,0.691625
7.980000,-0.265645
8.000000,-1.535748
8.020000,-2.988407
8.040000,-4.401946
8.060000,-5.437292
8.080000,-6.322186
8.100000,-6.892076
8.120000,-7.082410
8.140000,-7.242832
8.160000,-7.345679
8.180000,-7.396922
8.200000,-7.579698
8.220000,-7.820685
8.240000,-8.078180
8.260000,-8.180755
8.280000,-8.076429
8.300000,-7.410233
8.320000,-6.425264
8.340000,-5.290049
8.360000,-3.802738
8.380000,-2.493200
8.400000,-1.424995
8.420000,-0.440892
8.440000,-0.075814
8.460000,-0.053781
8.480000,-0.083932
8.500000,-0.334572
8.520000,-0.347768
8.540000,-0.493578
8.560000,-0.058108
8.580000,0.440344
8.600000,0.871418
8.620000,1.161542
8.640000,1.372757
8.660000,1.462325
8.680000,1.259310
8.700000,0.918711
8.720000,0.758485
8.740000,0.871085
8.760000,1.131796
8.780000,1.957903
8.800000,2.947364
8.820000,4.210759
8.840000,5.643224
8.860000,6.732469
8.880000,7.636448
8.900000,8.065582
8.920000,8.219310
8.940000,8.068407
8.960000,7.738225
8.980000,7.432237
9.000000,7.225980
9.020000,7.033561
9.040000,6.899534
9.060000,6.745718
9.080000,6.388349
9.100000,5.872883
9.120000,4.812769
9.140000,3.647132
9.160000,2.235121
9.180000,0.787553
9.200000,-0.543008
9.220000,-1.614091
9.240000,-2.286851
9.260000,-2.475586
9.280000,-2.341446
9.300000,-2.056159
9.320000,-1.878135
9.340000,-1.656954
9.360000,-1.566676
9.380000,-1.913726
9.400000,-2.290388
9.420000,-2.677557
9.440000,-2.988492
9.460000,-3.146581
9.480000,-3.119533
9.500000,-2.880198
9.520000,-2.625351
9.540000,-2.556201
9.560000,-2.593669
9.580000,-3.037385
9.600000,-3.776542
9.620000,-4.836792
9.640000,-5.930555
9.660000,-7.031251
9.680000,-7.849710
9.700000,-8.233261
9.720000,-8.405953
9.740000,-8.082619
9.760000,-7.461101
9.780000,-6.709393
9.800000,-6.108160
9.820000,-5.442175
9.840000,-4.889110
9.860000,-4.592613
9.880000,-4.147996
9.900000,-3.505708
9.920000,-2.696152
9.940000,-1.601650
9.960000,-0.203282
9.980000,1.228153
10.000000,2.628610
10.020000,3.766571
10.040000,4.534162
10.060000,4.839257
10.080000,4.774716
10.100000,4.520392
10.120000,3.981404
10.140000,3.439885
10.160000,3.191435
10.180000,3.192469
10.200000,3.252602
10.220000,3.629930
10.240000,4.005506
10.260000,4.110371
10.280000,4.170471
10.300000,4.110913
10.320000,3.955608
10.340000,3.592365
10.360000,3.396453
10.380000,3.490818
10.400000,3.922486
10.420000,4.579274
10.440000,5.531328
10.460000,6.361425
10.480000,7.196188
10.500000,7.617463
10.520000,7.567635
10.540000,7.205999
10.560000,6.466477
10.580000,5.491912
10.600000,4.424174
10.620000,3.359983
10.640000,2.652201
10.660000,1.932857
10.680000,1.425633
10.700000,0.711008
10.720000,-0.016581
10.740000,-0.978388
10.760000,-1.987072
10.780000,-3.383980
10.800000,-4.584434
10.820000,-5.710548
10.840000,-6.520812
10.860000,-6.931425
10.880000,-6.838587
10.900000,-6.423926
10.920000,-5.807156
10.940000,-4.949085
10.960000,-4.324788
10.980000,-4.008219
11.000000,-3.814034
11.020000,-3.899158
11.040000,-4.031601
11.060000,-4.391504
11.080000,-4.430050
11.100000,-4.393763
11.120000,-4.163225
11.140000,-3.810675
11.160000,-3.534403
11.180000,-3.304006
11.200000,-3.347175
11.220000,-3.678236
11.240000,-4.290543
11.260000,-4.906090
11.280000,-5.575752
11.300000,-5.959947
11.320000,-5.958121
11.340000,-5.625910
11.360000,-4.853558
11.380000,-3.587230
11.400000,-2.405849
11.420000,-1.208558
11.440000,-0.004769
11.460000,0.841891
11.480000,1.609398
11.500000,2.179061
11.520000,2.694386
11.540000,3.495277
11.560000,4.201776
11.580000,5.208011
11.600000,6.185220
11.620000,7.148772
11.640000,7.995057
11.660000,8.259868
11.680000,8.099367
11.700000,7.668326
11.720000,6.873302
11.740000,5.800681
11.760000,4.953813
11.780000,4.096842
11.800000,3.539957
11.820000,3.401420
11.840000,3.438443
11.860000,3.651874
11.880000,3.817328
11.900000,3.839716
11.920000,3.683338
11.940000,3.424574
11.960000,2.942394
11.980000,2.467455
12.000000,2.264512
12.020000,2.309302
12.040000,2.485250
12.060000,2.983502
12.080000,3.502723
12.100000,3.809932
12.120000,3.845574
12.140000,3.542025
12.160000,2.840511
12.180000,1.729384
12.200000,0.306008
12.220000,-1.041866
12.240000,-2.363722
12.260000,-3.475557
12.280000,-4.137186
12.300000,-4.799330
12.320000,-5.165867
12.340000,-5.551392
12.360000,-6.008260
12.380000,-6.645967
12.400000,-7.255615
12.420000,-7.918941
12.440000,-8.533886
12.460000,-8.702797
12.480000,-8.526482
12.500000,-8.157983
12.520000,-7.126847
12.540000,-5.980309
12.560000,-4.809617
12.580000,-3.632233
12.600000,-2.732616
12.620000,-2.185844
12.640000,-2.112693
12.660000,-2.120133
12.680000,-2.201087
12.700000,-2.356196
12.720000,-2.352868
12.740000,-2.095406
12.760000,-1.611939
12.780000,-1.186539
12.800000,-0.864634
12.820000,-0.575985
12.840000,-0.682574
12.860000,-0.715035
12.880000,-1.091379
12.900000,-1.370787
12.920000,-1.576287
12.940000,-1.392060
12.960000,-0.727201
12.980000,0.223027
13.000000,1.496628
13.020000,3.097779
13.040000,4.205166
13.060000,5.509135
13.080000,6.418040
13.100000,6.880360
13.120000,7.111883
13.140000,7.201439
13.160000,7.240897
13.180000,7.338129
13.200000,7.687280
13.220000,7.800473
13.240000,8.091894
13.260000,8.228613
13.280000,8.040884
13.300000,7.481876
13.320000,6.525056
13.340000,5.244626
13.360000,3.859564
13.380000,2.408649
13.400000,1.307612
13.420000,0.518684
13.440000,-0.036175
13.460000,-0.100697
13.480000,0.056452
13.500000,0.289294
13.520000,0.458324
13.540000,0.372410
13.560000,0.141623
13.580000,-0.325810
13.600000,-0.787822
13.620000,-1.167206
13.640000,-1.435205
13.660000,-1.420366
13.680000,-1.272754
13.700000,-0.957655
13.720000,-0.765780
13.740000,-0.812743
13.760000,-1.200053
13.780000,-1.935358
13.800000,-2.978353
13.820000,-4.125880
13.840000,-5.537232
13.860000,-6.727244
13.880000,-7.593784
13.900000,-8.066192
13.920000,-8.230474
13.940000,-8.042771
13.960000,-7.811614
13.980000,-7.437256
14.000000,-7.217523
14.020000,-7.074561
14.040000,-6.933344
14.060000,-6.718294
14.080000,-6.429691
14.100000,-5.921781
14.120000,-4.929221
14.140000,-3.616227
14.160000,-2.181412
14.180000,-0.737300
14.200000,0.506038
14.220000,1.584226
14.240000,2.178786
14.260000,2.463094
14.280000,2.382600
14.300000,2.097185
14.320000,1.884796
14.340000,1.752022
14.360000,1.673875
14.380000,1.832959
14.400000,2.238341
14.420000,2.751245
14.440000,2.980694
14.460000,3.112422
14.480000,3.057634
14.500000,2.939696
14.520000,2.658538
14.540000,2.516334
14.560000,2.661719
14.580000,2.993806
14.600000,3.804866
14.620000,4.792639
14.640000,5.985088
14.660000,7.121928
14.680000,7.859721
14.700000,8.319648
14.720000,8.356752
14.740000,8.128278
14.760000,7.466533
14.780000,6.748460
14.800000,6.053059
14.820000,5.492694
14.840000,5.049996
14.860000,4.543568
14.880000,4.218476
14.900000,3.493584
14.920000,2.633194
14.940000,1.575584
14.960000,0.218820
14.980000,-1.220701
15.000000,-2.652610
15.020000,-3.763784
15.040000,-4.536431
15.060000,-4.846835
15.080000,-4.778931
15.100000,-4.537089
15.120000,-3.972779
15.140000,-3.511564
15.160000,-3.149374
15.180000,-3.159818
15.200000,-3.345953
15.220000,-3.617662
15.240000,-3.967773
15.260000,-4.162666
15.280000,-4.144392
15.300000,-4.097402
15.320000,-3.823075
15.340000,-3.496457
15.360000,-3.422030
15.380000,-3.514432
15.400000,-3.958475
15.420000,-4.666153
15.440000,-5.540374
15.460000,-6.449970
15.480000,-7.174823
15.500000,-7.662786
15.520000,-7.481435
15.540000,-7.191306
15.560000,-6.473958
15.580000,-5.498291
15.600000,-4.411745
15.620000,-3.483668
15.640000,-2.643557
15.660000,-1.925367
15.680000,-1.365710
15.700000,-0.714989
15.720000,-0.026743
15.740000,0.865644
15.760000,2.018149
15.780000,3.284744
15.800000,4.622430
15.820000,5.704633
15.840000,6.521601
15.860000,6.941375
15.880000,6.868533
15.900000,6.448570
15.920000,5.774258
15.940000,5.021188
15.960000,4.350177
15.980000,3.895793
16.000000,3.781463
16.020000,3.900133
16.040000,4.135160
16.060000,4.352700
16.080000,4.456588
16.100000,4.401237
16.120000,4.214979
16.140000,3.781521
16.160000,3.553907
16.180000,3.343665
16.200000,3.496690
16.220000,3.767754
16.240000,4.405050
16.260000,4.973449
16.280000,5.614851
16.300000,6.063915
16.320000,6.032208
16.340000,5.619018
16.360000,4.796667
16.380000,3.623824
16.400000,2.297776
16.420000,1.086062
16.440000,-0.003035
16.460000,-0.909397
16.480000,-1.484533
16.500000,-2.238439
16.520000,-2.760651
16.540000,-3.414184
16.560000,-4.145518
16.580000,-5.136516
16.600000,-6.179319
16.620000,-7.188879
16.640000,-7.981713
16.660000,-8.216767
16.680000,-8.208739
16.700000,-7.689157
16.720000,-6.776468
16.740000,-5.819242
16.760000,-4.846943
16.780000,-4.127189
16.800000,-3.712373
16.820000,-3.388415
16.840000,-3.418834
16.860000,-3.586394
16.880000,-3.775904
16.900000,-3.898176
16.920000,-3.662463
16.940000,-3.414105
16.960000,-2.968736
16.980000,-2.465739
17.000000,-2.264739
17.020000,-2.309921
17.040000,-2.602475
17.060000,-2.986252
17.080000,-3.452073
17.100000,-3.785307
17.120000,-3.893664
17.140000,-3.642337
17.160000,-2.843031
17.180000,-1.606090
17.200000,-0.381160
17.220000,1.043164
17.240000,2.400225
17.260000,3.434826
17.280000,4.397489
17.300000,4.755316
17.320000,5.108772
17.340000,5.612862
17.360000,6.005085
17.380000,6.577922
17.400000,7.256128
17.420000,7.905341
17.440000,8.412565
17.460000,8.728914
17.480000,8.557259
17.500000,8.066589
17.520000,7.122303
17.540000,6.022541
17.560000,4.773493
17.580000,3.628711
17.600000,2.707126
17.620000,2.218567
17.640000,2.071793
17.660000,2.043268
17.680000,2.234458
17.700000,2.339440
17.720000,2.328402
17.740000,2.111405
17.760000,1.750159
17.780000,1.213342
17.800000,0.741554
17.820000,0.566819
17.840000,0.506609
17.860000,0.762559
17.880000,1.135227
17.900000,1.414159
17.920000,1.542063
17.940000,1.354933
17.960000,0.753770
17.980000,-0.300758
18.000000,-1.605550
18.020000,-3.013504
18.040000,-4.361129
18.060000,-5.463182
18.080000,-6.352969
18.100000,-6.914429
18.120000,-7.112105
18.140000,-7.296291
18.160000,-7.256333
18.180000,-7.420045
18.200000,-7.630830
18.220000,-7.814176
18.240000,-8.267985
18.260000,-8.145082
18.280000,-7.953167
18.300000,-7.454489
18.320000,-6.457684
18.340000,-5.214987
18.360000,-3.890545
18.380000,-2.373851
18.400000,-1.348721
18.420000,-0.569291
18.440000,-0.056247
18.460000,0.093135
18.480000,-0.105973
18.500000,-0.226776
18.520000,-0.475722
18.540000,-0.377663
18.560000,-0.204865
18.580000,0.343551
18.600000,0.791889
18.620000,1.197084
18.640000,1.421587
18.660000,1.402754
18.680000,1.194046
18.700000,0.980706
18.720000,0.796582
18.740000,0.757737
18.760000,1.163835
18.780000,1.758005
18.800000,3.005456
18.820000,4.302653
18.840000,5.523636
18.860000,6.650196
18.880000,7.566941
18.900000,8.132768
18.920000,8.175452
18.940000,8.121381
18.960000,7.743499
18.980000,7.517042
19.000000,7.157601
19.020000,7.081642
19.040000,6.795055
19.060000,6.656906
19.080000,6.257323
19.100000,5.587971
19.120000,4.758577
19.140000,3.419505
19.160000,2.053342
19.180000,0.727646
19.200000,-0.474625
19.220000,-1.466794
19.240000,-1.862434
19.260000,-2.135978
19.280000,-1.831495
19.300000,-1.650621
19.320000,-1.354819
19.340000,-1.190385
19.360000,-1.104508
19.380000,-1.243672
19.400000,-1.446168
19.420000,-1.610347
19.440000,-1.690464
19.460000,-1.624684
19.480000,-1.526171
19.500000,-1.339553
19.520000,-1.186357
19.540000,-1.017325
19.560000,-0.981154
19.580000,-1.029154
19.600000,-1.202131
19.620000,-1.399927
19.640000,-1.542438
19.660000,-1.654457
19.680000,-1.618241
19.700000,-1.510355
19.720000,-1.335910
19.740000,-1.106069
19.760000,-0.854682
19.780000,-0.643674
19.800000,-0.475798
19.820000,-0.337811
19.840000,-0.238437
19.860000,-0.163623
19.880000,-0.102889
19.900000,-0.055201
19.920000,-0.022905
19.940000,-0.005747
19.960000,-0.000318
19.980000,0.000000
