t_s,a_g
0.238000,0.024452
0.240000,0.024598
0.242000,0.028028
0.244000,0.025319
0.246000,0.026363
0.248000,0.026239
0.250000,0.026921
0.252000,0.026846
0.254000,0.028855
0.256000,0.027796
0.258000,0.028434
0.260000,0.026656
0.262000,0.026467
0.264000,0.026875
0.266000,0.026742
0.268000,0.026045
0.270000,0.027825
0.272000,0.026212
0.274000,0.024045
0.276000,0.025082
0.278000,0.023578
0.280000,0.023928
0.282000,0.025355
0.284000,0.022512
0.286000,0.022773
0.288000,0.020223
0.290000,0.022500
0.292000,0.022996
0.294000,0.020569
0.296000,0.020626
0.298000,0.017187
0.300000,0.020313
0.302000,0.019860
0.304000,0.020524
0.306000,0.019895
0.308000,0.016877
0.310000,0.019125
0.312000,0.017068
0.314000,0.018190
0.316000,0.017289
0.318000,0.013884
0.320000,0.014256
0.322000,0.014511
0.324000,0.015844
0.326000,0.011559
0.328000,0.010860
0.330000,0.007835
0.332000,0.008113
0.334000,0.007694
0.336000,0.003773
0.338000,0.001639
0.340000,-0.000959
0.342000,-0.003374
0.344000,-0.006049
0.346000,-0.004206
0.348000,-0.006535
0.350000,-0.008993
0.352000,-0.010690
0.354000,-0.013364
0.356000,-0.014490
0.358000,-0.016783
0.360000,-0.021276
0.362000,-0.023140
0.364000,-0.018573
0.366000,-0.022351
0.368000,-0.027904
0.370000,-0.030345
0.372000,-0.029550
0.374000,-0.033397
0.376000,-0.031222
0.378000,-0.035538
0.380000,-0.036304
0.382000,-0.039621
0.384000,-0.037370
0.386000,-0.038441
0.388000,-0.038401
0.390000,-0.039619
0.392000,-0.039265
0.394000,-0.039074
0.396000,-0.037100
0.398000,-0.041449
0.400000,-0.039370
0.402000,-0.040811
0.404000,-0.039200
0.406000,-0.044738
0.408000,-0.043274
0.410000,-0.042346
0.412000,-0.042442
0.414000,-0.044616
0.416000,-0.045520
0.418000,-0.051726
0.420000,-0.048547
0.422000,-0.051196
0.424000,-0.048084
0.426000,-0.050750
0.428000,-0.053314
0.430000,-0.054572
0.432000,-0.055258
0.434000,-0.053782
0.436000,-0.054133
0.438000,-0.052569
0.440000,-0.053791
0.442000,-0.058182
0.444000,-0.056613
0.446000,-0.057814
0.448000,-0.056618
0.450000,-0.058311
0.452000,-0.058734
0.454000,-0.054406
0.456000,-0.058131
0.458000,-0.054239
0.460000,-0.051147
0.462000,-0.050393
0.464000,-0.051212
0.466000,-0.049127
0.468000,-0.045544
0.470000,-0.045415
0.472000,-0.043390
0.474000,-0.044067
0.476000,-0.044125
0.478000,-0.041833
0.480000,-0.041019
0.482000,-0.039335
0.484000,-0.036795
0.486000,-0.040733
0.488000,-0.034955
0.490000,-0.033267
0.492000,-0.034436
0.494000,-0.034717
0.496000,-0.034417
0.498000,-0.030351
0.500000,-0.031477
0.502000,-0.030255
0.504000,-0.034541
0.506000,-0.028117
0.508000,-0.034784
0.510000,-0.029200
0.512000,-0.032593
0.514000,-0.032119
0.516000,-0.032097
0.518000,-0.031550
0.520000,-0.027214
0.522000,-0.033047
0.524000,-0.031839
0.526000,-0.029634
0.528000,-0.032408
0.530000,-0.028494
0.532000,-0.032458
0.534000,-0.032661
0.536000,-0.028435
0.538000,-0.028626
0.540000,-0.031582
0.542000,-0.027691
0.544000,-0.030542
0.546000,-0.030213
0.548000,-0.027425
0.550000,-0.030679
0.552000,-0.030987
0.554000,-0.025148
0.556000,-0.029021
0.558000,-0.026269
0.560000,-0.022381
0.562000,-0.027291
0.564000,-0.024793
0.566000,-0.025096
0.568000,-0.022568
0.570000,-0.024982
0.572000,-0.025010
0.574000,-0.027177
0.576000,-0.025665
0.578000,-0.029683
0.580000,-0.028079
0.582000,-0.027200
0.584000,-0.028278
0.586000,-0.025377
0.588000,-0.028269
0.590000,-0.029225
0.592000,-0.030053
0.594000,-0.028915
0.596000,-0.033020
0.598000,-0.030356
0.600000,-0.030687
0.602000,-0.033891
0.604000,-0.035577
0.606000,-0.035837
0.608000,-0.035852
0.610000,-0.036957
0.612000,-0.037237
0.614000,-0.038014
0.616000,-0.038999
0.618000,-0.034148
0.620000,-0.037790
0.622000,-0.037884
0.624000,-0.040611
0.626000,-0.036477
0.628000,-0.036817
0.630000,-0.035678
0.632000,-0.035522
0.634000,-0.034320
0.636000,-0.034690
0.638000,-0.028784
0.640000,-0.027892
0.642000,-0.029489
0.644000,-0.030838
0.646000,-0.026628
0.648000,-0.028578
0.650000,-0.024989
0.652000,-0.024803
0.654000,-0.018729
0.656000,-0.019758
0.658000,-0.020885
0.660000,-0.017672
0.662000,-0.020186
0.664000,-0.014709
0.666000,-0.017876
0.668000,-0.014371
0.670000,-0.015194
0.672000,-0.014533
0.674000,-0.014557
0.676000,-0.011722
0.678000,-0.011038
0.680000,-0.008276
0.682000,-0.006838
0.684000,-0.006644
0.686000,-0.002281
0.688000,-0.003105
0.690000,-0.003618
0.692000,-0.002906
0.694000,-0.000495
0.696000,-0.003479
0.698000,0.002116
0.700000,0.001122
0.702000,0.005977
0.704000,0.006320
0.706000,0.009435
0.708000,0.010979
0.710000,0.011132
0.712000,0.011541
0.714000,0.020061
0.716000,0.017136
0.718000,0.019347
0.720000,0.022160
0.722000,0.026927
0.724000,0.025725
0.726000,0.032998
0.728000,0.031311
0.730000,0.037506
0.732000,0.039460
0.734000,0.040758
0.736000,0.040337
0.738000,0.047708
0.740000,0.049046
0.742000,0.048618
0.744000,0.048675
0.746000,0.051022
0.748000,0.051483
0.750000,0.054062
0.752000,0.055405
0.754000,0.056274
0.756000,0.054553
0.758000,0.055974
0.760000,0.057448
0.762000,0.056824
0.764000,0.058697
0.766000,0.057226
0.768000,0.060585
0.770000,0.057779
0.772000,0.059278
0.774000,0.058012
0.776000,0.059769
0.778000,0.060500
0.780000,0.062415
0.782000,0.058343
0.784000,0.058065
0.786000,0.061433
0.788000,0.060508
0.790000,0.060778
0.792000,0.062832
0.794000,0.061702
0.796000,0.061388
0.798000,0.063180
0.800000,0.060801
0.802000,0.065069
0.804000,0.067719
0.806000,0.064273
0.808000,0.064685
0.810000,0.065111
0.812000,0.064294
0.814000,0.063538
0.816000,0.065985
0.818000,0.064727
0.820000,0.065323
0.822000,0.063028
0.824000,0.063242
0.826000,0.065866
0.828000,0.060656
0.830000,0.060299
0.832000,0.055783
0.834000,0.055340
0.836000,0.057973
0.838000,0.057874
0.840000,0.053073
0.842000,0.052468
0.844000,0.048614
0.846000,0.050243
0.848000,0.046610
0.850000,0.044970
0.852000,0.042242
0.854000,0.044221
0.856000,0.040702
0.858000,0.037289
0.860000,0.035440
0.862000,0.037037
0.864000,0.035599
0.866000,0.032470
0.868000,0.032069
0.870000,0.027568
0.872000,0.029948
0.874000,0.028921
0.876000,0.029949
0.878000,0.027396
0.880000,0.028003
0.882000,0.027833
0.884000,0.027061
0.886000,0.025964
0.888000,0.026535
0.890000,0.020360
0.892000,0.021334
0.894000,0.023097
0.896000,0.023144
0.898000,0.024174
0.900000,0.024229
0.902000,0.023691
0.904000,0.021070
0.906000,0.022800
0.908000,0.021446
0.910000,0.021706
0.912000,0.022740
0.914000,0.018045
0.916000,0.022347
0.918000,0.016734
0.920000,0.018687
0.922000,0.014416
0.924000,0.019058
0.926000,0.017667
0.928000,0.015667
0.930000,0.013332
0.932000,0.016603
0.934000,0.011817
0.936000,0.013545
0.938000,0.016243
0.940000,0.012068
0.942000,0.009542
0.944000,0.012414
0.946000,0.006520
0.948000,0.008692
0.950000,0.008925
0.952000,0.012559
0.954000,0.013676
0.956000,0.010332
0.958000,0.011583
0.960000,0.008660
0.962000,0.010705
0.964000,0.009592
0.966000,0.007360
0.968000,0.013706
0.970000,0.011650
0.972000,0.015900
0.974000,0.013896
0.976000,0.014257
0.978000,0.014977
0.980000,0.016876
0.982000,0.016845
0.984000,0.013318
0.986000,0.017093
0.988000,0.020473
0.990000,0.018348
0.992000,0.018718
0.994000,0.019958
0.996000,0.017368
0.998000,0.017113
1.000000,0.020186
1.002000,0.015845
1.004000,0.018054
1.006000,0.016683
1.008000,0.015978
1.010000,0.013476
1.012000,0.012674
1.014000,0.014418
1.016000,0.010969
1.018000,0.012141
1.020000,0.008411
1.022000,0.006159
1.024000,0.005180
1.026000,0.006092
1.028000,0.002382
1.030000,0.001181
1.032000,0.001232
1.034000,0.004212
1.036000,-0.001188
1.038000,-0.001046
1.040000,-0.002013
1.042000,-0.001290
1.044000,-0.004292
1.046000,-0.003143
1.048000,-0.004674
1.050000,-0.007418
1.052000,-0.009576
1.054000,-0.007250
1.056000,-0.008757
1.058000,-0.013648
1.060000,-0.011929
1.062000,-0.011150
1.064000,-0.015191
1.066000,-0.014049
1.068000,-0.015784
1.070000,-0.014363
1.072000,-0.020894
1.074000,-0.018527
1.076000,-0.019859
1.078000,-0.023293
1.080000,-0.023682
1.082000,-0.029774
1.084000,-0.023586
1.086000,-0.030065
1.088000,-0.031163
1.090000,-0.031117
1.092000,-0.038545
1.094000,-0.039027
1.096000,-0.042728
1.098000,-0.040351
1.100000,-0.043911
1.102000,-0.046731
1.104000,-0.048004
1.106000,-0.053439
1.108000,-0.051666
1.110000,-0.055603
1.112000,-0.058665
1.114000,-0.057566
1.116000,-0.058228
1.118000,-0.061117
1.120000,-0.059665
1.122000,-0.060648
1.124000,-0.061818
1.126000,-0.063553
1.128000,-0.066219
1.130000,-0.063050
1.132000,-0.065155
1.134000,-0.067907
1.136000,-0.069915
1.138000,-0.068608
1.140000,-0.067398
1.142000,-0.066184
1.144000,-0.064776
1.146000,-0.071282
1.148000,-0.067586
1.150000,-0.064006
1.152000,-0.061246
1.154000,-0.067180
1.156000,-0.061924
1.158000,-0.066532
1.160000,-0.061928
1.162000,-0.067607
1.164000,-0.069914
1.166000,-0.061292
1.168000,-0.066918
1.170000,-0.068802
1.172000,-0.065996
1.174000,-0.063706
1.176000,-0.065041
1.178000,-0.067474
1.180000,-0.062385
1.182000,-0.067731
1.184000,-0.066141
1.186000,-0.060725
1.188000,-0.066678
1.190000,-0.065726
1.192000,-0.066171
1.194000,-0.063334
1.196000,-0.062580
1.198000,-0.060408
1.200000,-0.059890
1.202000,-0.056665
1.204000,-0.059190
1.206000,-0.056863
1.208000,-0.055667
1.210000,-0.056863
1.212000,-0.050050
1.214000,-0.049718
1.216000,-0.048487
1.218000,-0.049349
1.220000,-0.043574
1.222000,-0.040179
1.224000,-0.041946
1.226000,-0.038965
1.228000,-0.034148
1.230000,-0.031596
1.232000,-0.034531
1.234000,-0.030292
1.236000,-0.028466
1.238000,-0.029368
1.240000,-0.024750
1.242000,-0.025256
1.244000,-0.019868
1.246000,-0.021229
1.248000,-0.021899
1.250000,-0.017932
1.252000,-0.013830
1.254000,-0.010329
1.256000,-0.017080
1.258000,-0.014677
1.260000,-0.012819
1.262000,-0.011871
1.264000,-0.010303
1.266000,-0.011246
1.268000,-0.006181
1.270000,-0.005936
1.272000,-0.010493
1.274000,-0.007075
1.276000,-0.003812
1.278000,-0.010393
1.280000,-0.008614
1.282000,-0.009593
1.284000,-0.004405
1.286000,-0.005619
1.288000,-0.005901
1.290000,-0.002787
1.292000,-0.001064
1.294000,-0.005421
1.296000,-0.000790
1.298000,-0.004542
1.300000,-0.003067
1.302000,0.000698
1.304000,-0.000227
1.306000,0.005041
1.308000,0.002281
1.310000,0.006699
1.312000,0.007684
1.314000,0.008094
1.316000,0.006972
1.318000,0.006830
1.320000,0.009237
1.322000,0.007322
1.324000,0.008930
1.326000,0.010715
1.328000,0.011801
1.330000,0.010380
1.332000,0.010508
1.334000,0.005273
1.336000,0.005494
1.338000,0.008450
1.340000,0.006667
1.342000,0.005620
1.344000,0.006085
1.346000,0.001228
1.348000,0.005918
1.350000,0.002344
1.352000,-0.000044
1.354000,0.003328
1.356000,0.000887
1.358000,-0.000729
1.360000,0.000559
1.362000,0.000649
1.364000,0.002397
1.366000,-0.001479
1.368000,0.000815
1.370000,0.000365
1.372000,-0.002564
1.374000,-0.000285
1.376000,0.001978
1.378000,0.004396
1.380000,-0.001313
1.382000,0.003066
1.384000,0.004352
1.386000,0.003914
1.388000,0.009270
1.390000,0.008542
1.392000,0.010827
1.394000,0.009899
1.396000,0.010132
1.398000,0.013929
1.400000,0.012811
1.402000,0.008638
1.404000,0.011398
1.406000,0.016725
1.408000,0.016487
1.410000,0.019954
1.412000,0.019763
1.414000,0.021960
1.416000,0.018939
1.418000,0.019982
1.420000,0.019190
1.422000,0.021701
1.424000,0.024976
1.426000,0.021676
1.428000,0.024304
1.430000,0.021917
1.432000,0.024808
1.434000,0.022599
1.436000,0.023915
1.438000,0.020861
1.440000,0.028298
1.442000,0.030916
1.444000,0.028730
1.446000,0.030277
1.448000,0.032048
1.450000,0.030146
1.452000,0.031095
1.454000,0.034804
1.456000,0.035257
1.458000,0.031679
1.460000,0.040966
1.462000,0.038778
1.464000,0.041144
1.466000,0.042618
1.468000,0.048672
1.470000,0.051546
1.472000,0.044286
1.474000,0.050945
1.476000,0.054206
1.478000,0.056417
1.480000,0.056593
1.482000,0.057906
1.484000,0.059203
1.486000,0.061050
1.488000,0.064874
1.490000,0.064699
1.492000,0.068093
1.494000,0.068301
1.496000,0.065109
1.498000,0.067751
1.500000,0.065128
1.502000,0.068621
1.504000,0.067371
1.506000,0.068731
1.508000,0.070200
1.510000,0.065039
1.512000,0.065021
1.514000,0.069053
1.516000,0.068880
1.518000,0.068033
1.520000,0.068379
1.522000,0.068509
1.524000,0.066404
1.526000,0.068057
1.528000,0.064840
1.530000,0.064579
1.532000,0.060580
1.534000,0.063647
1.536000,0.065617
1.538000,0.064304
1.540000,0.066113
1.542000,0.059009
1.544000,0.063184
1.546000,0.063485
1.548000,0.060532
1.550000,0.058578
1.552000,0.060734
1.554000,0.058850
1.556000,0.060193
1.558000,0.057528
1.560000,0.058240
1.562000,0.055806
1.564000,0.059016
1.566000,0.052903
1.568000,0.051547
1.570000,0.054574
1.572000,0.050848
1.574000,0.051532
1.576000,0.048830
1.578000,0.047380
1.580000,0.043150
1.582000,0.048986
1.584000,0.042861
1.586000,0.038216
1.588000,0.038170
1.590000,0.036997
1.592000,0.035588
1.594000,0.032800
1.596000,0.029826
1.598000,0.024258
1.600000,0.024581
1.602000,0.018261
1.604000,0.021068
1.606000,0.018968
1.608000,0.016380
1.610000,0.015375
1.612000,0.009489
1.614000,0.011744
1.616000,0.006025
1.618000,0.004239
1.620000,0.005866
1.622000,0.002134
1.624000,0.004261
1.626000,0.002062
1.628000,-0.000406
1.630000,0.000933
1.632000,-0.003055
1.634000,-0.001311
1.636000,-0.004470
1.638000,-0.009051
1.640000,-0.004652
1.642000,-0.006441
1.644000,-0.003892
1.646000,-0.004603
1.648000,-0.006853
1.650000,-0.006900
1.652000,-0.012875
1.654000,-0.012433
1.656000,-0.011067
1.658000,-0.011058
1.660000,-0.009978
1.662000,-0.015728
1.664000,-0.011901
1.666000,-0.016988
1.668000,-0.016224
1.670000,-0.020981
1.672000,-0.018652
1.674000,-0.019516
1.676000,-0.020643
1.678000,-0.023144
1.680000,-0.019380
1.682000,-0.019490
1.684000,-0.022857
1.686000,-0.023034
1.688000,-0.028402
1.690000,-0.030058
1.692000,-0.026197
1.694000,-0.028647
1.696000,-0.027554
1.698000,-0.024654
1.700000,-0.028035
1.702000,-0.031613
1.704000,-0.030488
1.706000,-0.027211
1.708000,-0.027282
1.710000,-0.026283
1.712000,-0.026407
1.714000,-0.027489
1.716000,-0.025570
1.718000,-0.025280
1.720000,-0.025351
1.722000,-0.023298
1.724000,-0.022744
1.726000,-0.022141
1.728000,-0.022041
1.730000,-0.020700
1.732000,-0.022051
1.734000,-0.020820
1.736000,-0.020550
1.738000,-0.016782
1.740000,-0.017384
1.742000,-0.017387
1.744000,-0.016805
1.746000,-0.019502
1.748000,-0.018992
1.750000,-0.016202
1.752000,-0.017962
1.754000,-0.018268
1.756000,-0.020809
1.758000,-0.019873
1.760000,-0.019599
1.762000,-0.021044
1.764000,-0.023101
1.766000,-0.020761
1.768000,-0.022696
1.770000,-0.019427
1.772000,-0.022561
1.774000,-0.024443
1.776000,-0.025265
1.778000,-0.026842
1.780000,-0.029400
1.782000,-0.029240
1.784000,-0.031223
1.786000,-0.028769
1.788000,-0.027633
1.790000,-0.030066
1.792000,-0.029498
1.794000,-0.032408
1.796000,-0.031276
1.798000,-0.033353
1.800000,-0.031926
1.802000,-0.030663
1.804000,-0.033059
1.806000,-0.031625
1.808000,-0.030711
1.810000,-0.031908
1.812000,-0.031524
1.814000,-0.033298
1.816000,-0.033078
1.818000,-0.036244
1.820000,-0.034250
1.822000,-0.035833
1.824000,-0.033101
1.826000,-0.036959
1.828000,-0.038767
1.830000,-0.038346
1.832000,-0.041826
1.834000,-0.041964
1.836000,-0.042010
1.838000,-0.047305
1.840000,-0.045870
1.842000,-0.046317
1.844000,-0.047518
1.846000,-0.048623
1.848000,-0.049147
1.850000,-0.055392
1.852000,-0.056736
1.854000,-0.057947
1.856000,-0.058497
1.858000,-0.061477
1.860000,-0.061909
1.862000,-0.062212
1.864000,-0.062945
1.866000,-0.063122
1.868000,-0.060620
1.870000,-0.059264
1.872000,-0.064378
1.874000,-0.065391
1.876000,-0.066215
1.878000,-0.061112
1.880000,-0.062130
1.882000,-0.063407
1.884000,-0.061997
1.886000,-0.058960
1.888000,-0.065718
1.890000,-0.060140
1.892000,-0.059715
1.894000,-0.058460
1.896000,-0.061021
1.898000,-0.057665
1.900000,-0.056775
1.902000,-0.053883
1.904000,-0.058426
1.906000,-0.052584
1.908000,-0.051065
1.910000,-0.055378
1.912000,-0.053006
1.914000,-0.047475
1.916000,-0.053557
1.918000,-0.049508
1.920000,-0.048099
1.922000,-0.048460
1.924000,-0.050432
1.926000,-0.049290
1.928000,-0.045990
1.930000,-0.047846
1.932000,-0.046500
1.934000,-0.047579
1.936000,-0.044277
1.938000,-0.043556
1.940000,-0.043646
1.942000,-0.041870
1.944000,-0.042192
1.946000,-0.039610
1.948000,-0.038567
1.950000,-0.035885
1.952000,-0.031856
1.954000,-0.032892
1.956000,-0.033680
1.958000,-0.024923
1.960000,-0.029894
1.962000,-0.024771
1.964000,-0.019233
1.966000,-0.020151
1.968000,-0.014545
1.970000,-0.012704
1.972000,-0.011709
1.974000,-0.010975
1.976000,-0.004634
1.978000,-0.002271
1.980000,-0.002754
1.982000,-0.001145
1.984000,0.000405
1.986000,0.004344
1.988000,0.004119
1.990000,0.010589
1.992000,0.013542
1.994000,0.011635
1.996000,0.016675
1.998000,0.022094
2.000000,0.012618
2.002000,0.023414
2.004000,0.020872
2.006000,0.017837
2.008000,0.024743
2.010000,0.021914
2.012000,0.021673
2.014000,0.022163
2.016000,0.022733
2.018000,0.027091
2.020000,0.027482
2.022000,0.028904
2.024000,0.027277
2.026000,0.032761
2.028000,0.029138
2.030000,0.032134
2.032000,0.032259
2.034000,0.034854
2.036000,0.031444
2.038000,0.034380
2.040000,0.034289
2.042000,0.034253
2.044000,0.033276
2.046000,0.034723
2.048000,0.033833
2.050000,0.040991
2.052000,0.036513
2.054000,0.040118
2.056000,0.040774
2.058000,0.040870
2.060000,0.042272
2.062000,0.040876
2.064000,0.044446
2.066000,0.040215
2.068000,0.043378
2.070000,0.045963
2.072000,0.046137
2.074000,0.044044
2.076000,0.047193
2.078000,0.043423
2.080000,0.041694
2.082000,0.044817
2.084000,0.045056
2.086000,0.046018
2.088000,0.040270
2.090000,0.037666
2.092000,0.037513
2.094000,0.040040
2.096000,0.034661
2.098000,0.037610
2.100000,0.036571
2.102000,0.032261
2.104000,0.035969
2.106000,0.033901
2.108000,0.034157
2.110000,0.030297
2.112000,0.034342
2.114000,0.030946
2.116000,0.028286
2.118000,0.032720
2.120000,0.028348
2.122000,0.026595
2.124000,0.027857
2.126000,0.027297
2.128000,0.029002
2.130000,0.029821
2.132000,0.024958
2.134000,0.029251
2.136000,0.026969
2.138000,0.028653
2.140000,0.031765
2.142000,0.034160
2.144000,0.030337
2.146000,0.031452
2.148000,0.034049
2.150000,0.033157
2.152000,0.035789
2.154000,0.033136
2.156000,0.031492
2.158000,0.032653
2.160000,0.035044
2.162000,0.036763
2.164000,0.038722
2.166000,0.036750
2.168000,0.033130
2.170000,0.037248
2.172000,0.031901
2.174000,0.034071
2.176000,0.033802
2.178000,0.031775
2.180000,0.035597
2.182000,0.030011
2.184000,0.036060
2.186000,0.031797
2.188000,0.034591
2.190000,0.035279
2.192000,0.036271
2.194000,0.031217
2.196000,0.032742
2.198000,0.032733
2.200000,0.030726
2.202000,0.034333
2.204000,0.034731
2.206000,0.034727
2.208000,0.040267
2.210000,0.039889
2.212000,0.037420
2.214000,0.040303
2.216000,0.040702
2.218000,0.042852
2.220000,0.041159
2.222000,0.046207
2.224000,0.043365
2.226000,0.043859
2.228000,0.046822
2.230000,0.050886
2.232000,0.050231
2.234000,0.050512
2.236000,0.052416
2.238000,0.053716
2.240000,0.053606
2.242000,0.054971
2.244000,0.056381
2.246000,0.056318
2.248000,0.051076
2.250000,0.054111
2.252000,0.053681
2.254000,0.052200
2.256000,0.054425
2.258000,0.051134
2.260000,0.049139
2.262000,0.051099
2.264000,0.047665
2.266000,0.049462
2.268000,0.045752
2.270000,0.046842
2.272000,0.044718
2.274000,0.046822
2.276000,0.044274
2.278000,0.040128
2.280000,0.041711
2.282000,0.038206
2.284000,0.037413
2.286000,0.039859
2.288000,0.035688
2.290000,0.034932
2.292000,0.030763
2.294000,0.035820
2.296000,0.033419
2.298000,0.028763
2.300000,0.032446
2.302000,0.030630
2.304000,0.030484
2.306000,0.029107
2.308000,0.028481
2.310000,0.029373
2.312000,0.026090
2.314000,0.026010
2.316000,0.025930
2.318000,0.022980
2.320000,0.018935
2.322000,0.020706
2.324000,0.013927
2.326000,0.014771
2.328000,0.012118
2.330000,0.007957
2.332000,0.010283
2.334000,0.007578
2.336000,0.003656
2.338000,0.004180
2.340000,-0.000523
2.342000,-0.002996
2.344000,-0.007742
2.346000,-0.007147
2.348000,-0.008459
2.350000,-0.007986
2.352000,-0.011576
2.354000,-0.014814
2.356000,-0.018388
2.358000,-0.022542
2.360000,-0.022907
2.362000,-0.021906
2.364000,-0.032992
2.366000,-0.032697
2.368000,-0.030441
2.370000,-0.031397
2.372000,-0.033550
2.374000,-0.033372
2.376000,-0.039624
2.378000,-0.037538
2.380000,-0.039374
2.382000,-0.040354
2.384000,-0.042928
2.386000,-0.045529
2.388000,-0.044838
2.390000,-0.046081
2.392000,-0.046140
2.394000,-0.044014
2.396000,-0.043473
2.398000,-0.048410
2.400000,-0.045098
2.402000,-0.045595
2.404000,-0.048550
2.406000,-0.045008
2.408000,-0.050551
2.410000,-0.048036
2.412000,-0.049930
2.414000,-0.048492
2.416000,-0.049330
2.418000,-0.055109
2.420000,-0.048804
2.422000,-0.051124
2.424000,-0.055824
2.426000,-0.053768
2.428000,-0.052278
2.430000,-0.053742
2.432000,-0.057953
2.434000,-0.058501
2.436000,-0.056066
2.438000,-0.057401
2.440000,-0.057107
2.442000,-0.062002
2.444000,-0.057219
2.446000,-0.058618
2.448000,-0.059595
2.450000,-0.058115
2.452000,-0.056700
2.454000,-0.058351
2.456000,-0.056091
2.458000,-0.055035
2.460000,-0.056761
2.462000,-0.051475
2.464000,-0.050055
2.466000,-0.047737
2.468000,-0.044277
2.470000,-0.047332
2.472000,-0.051494
2.474000,-0.045731
2.476000,-0.042954
2.478000,-0.040688
2.480000,-0.039886
2.482000,-0.040522
2.484000,-0.040700
2.486000,-0.039774
2.488000,-0.036662
2.490000,-0.036974
2.492000,-0.033036
2.494000,-0.036165
2.496000,-0.034901
2.498000,-0.032336
2.500000,-0.029796
2.502000,-0.033651
2.504000,-0.030051
2.506000,-0.033782
2.508000,-0.034506
2.510000,-0.027784
2.512000,-0.033141
2.514000,-0.033661
2.516000,-0.033109
2.518000,-0.033621
2.520000,-0.032728
2.522000,-0.032263
2.524000,-0.026831
2.526000,-0.032208
2.528000,-0.028980
2.530000,-0.034147
2.532000,-0.028052
2.534000,-0.031512
2.536000,-0.028516
2.538000,-0.031757
2.540000,-0.028519
2.542000,-0.027922
2.544000,-0.030892
2.546000,-0.032318
2.548000,-0.027291
2.550000,-0.030012
2.552000,-0.028691
2.554000,-0.028933
2.556000,-0.026574
2.558000,-0.025570
2.560000,-0.025172
2.562000,-0.025060
2.564000,-0.025510
2.566000,-0.026263
2.568000,-0.026617
2.570000,-0.025644
2.572000,-0.026772
2.574000,-0.023272
2.576000,-0.023572
2.578000,-0.027038
2.580000,-0.022315
2.582000,-0.025999
2.584000,-0.029819
2.586000,-0.028209
2.588000,-0.029046
2.590000,-0.028220
2.592000,-0.029792
2.594000,-0.031160
2.596000,-0.034045
2.598000,-0.032751
2.600000,-0.034225
2.602000,-0.033652
2.604000,-0.034552
2.606000,-0.035690
2.608000,-0.037230
2.610000,-0.036693
2.612000,-0.034544
2.614000,-0.040280
2.616000,-0.035446
2.618000,-0.032713
2.620000,-0.038347
2.622000,-0.037806
2.624000,-0.038079
2.626000,-0.037549
2.628000,-0.034973
2.630000,-0.038747
2.632000,-0.032332
2.634000,-0.030988
2.636000,-0.035369
2.638000,-0.033516
2.640000,-0.029050
2.642000,-0.029128
2.644000,-0.024958
2.646000,-0.026840
2.648000,-0.025898
2.650000,-0.024445
2.652000,-0.022830
2.654000,-0.024281
2.656000,-0.021648
2.658000,-0.020094
2.660000,-0.018054
2.662000,-0.018904
